       43	2014-05-25 17:27:34	1	0	15	0
       52	2014-05-25 20:24:30	1	0	15	0
       45	2014-05-25 20:38:58	1	0	15	0
        8	2014-05-25 21:36:02	1	0	15	0
       33	2014-05-25 22:00:19	1	0	15	0
       33	2014-05-25 22:00:21	1	0	15	0
       43	2014-05-25 22:00:37	1	0	15	0
       43	2014-05-25 22:00:39	1	0	15	0
       52	2014-05-26 05:03:58	1	0	15	0
       45	2014-05-26 05:08:44	1	0	15	0
       45	2014-05-26 05:08:46	1	0	15	0
       35	2014-05-26 05:35:58	1	0	15	0
       10	2014-05-26 05:56:40	1	0	15	0
       10	2014-05-26 05:56:44	1	0	15	0
       10	2014-05-26 05:56:46	1	0	15	0
       10	2014-05-26 05:56:49	1	0	15	0
       43	2014-05-26 06:12:39	1	0	15	0
       43	2014-05-26 06:14:18	1	1	15	0
        8	2014-05-26 06:14:25	1	1	15	0
        5	2014-05-26 06:16:01	1	0	15	0
        5	2014-05-26 06:16:03	1	0	15	0
        4	2014-05-26 06:59:50	1	0	15	0
       11	2014-05-26 07:11:40	1	0	15	0
       26	2014-05-26 07:13:52	1	0	15	0
       26	2014-05-26 07:13:54	1	0	15	0
      101	2014-05-26 07:14:03	1	0	15	0
       13	2014-05-26 07:19:43	1	0	15	0
       13	2014-05-26 07:19:45	1	0	15	0
       98	2014-05-26 07:23:02	1	0	15	0
       57	2014-05-26 07:25:38	1	0	15	0
       36	2014-05-26 07:29:01	1	0	15	0
       59	2014-05-26 07:30:04	1	0	15	0
       61	2014-05-26 07:31:11	1	0	15	0
       61	2014-05-26 07:31:13	1	0	15	0
       36	2014-05-26 07:32:45	1	0	15	0
       36	2014-05-26 07:32:48	1	0	15	0
       38	2014-05-26 07:33:42	1	0	15	0
        2	2014-05-26 07:33:48	1	0	15	0
       22	2014-05-26 07:34:12	1	0	15	0
      102	2014-05-26 07:37:03	1	0	15	0
      100	2014-05-26 07:37:12	1	0	15	0
       56	2014-05-26 07:40:49	1	0	15	0
       23	2014-05-26 07:41:09	1	0	15	0
       68	2014-05-26 07:41:24	1	0	15	0
       20	2014-05-26 07:42:58	1	0	15	0
       20	2014-05-26 07:43:00	1	0	15	0
       31	2014-05-26 07:45:28	1	0	15	0
       47	2014-05-26 07:46:55	1	0	15	0
       28	2014-05-26 07:47:12	1	0	15	0
       28	2014-05-26 07:47:14	1	0	15	0
